"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2023-04",98.44272,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2023-05",98.34578,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2023-06",98.31219,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2023-07",98.35471,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2023-08",98.44023,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2023-09",98.50508,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2023-10",98.62933,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2023-11",98.85649,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-01",99.49672,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.05915,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-03",98.09361,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-04",97.02029,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-05",96.43818,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-06",96.8213,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-07",97.72354,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.58437,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-09",99.01547,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-10",99.12877,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-11",99.09601,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-12",99.02616,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.98891,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.04967,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.27187,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2021-04",99.62139,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2021-05",100.0844,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2021-06",100.6577,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2021-07",101.2259,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2021-08",101.6247,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2021-09",101.7089,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2021-10",101.5906,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2021-11",101.3705,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2021-12",101.0722,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2022-01",100.6774,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2022-02",100.0946,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2022-03",99.22462,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2022-04",98.21268,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2022-05",97.23309,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2022-06",96.41489,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2022-07",95.73549,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2022-08",95.19272,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2022-09",94.83811,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2022-10",94.67357,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2022-11",94.78079,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2022-12",95.26079,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2023-01",95.90144,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2023-02",96.45132,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2023-03",96.73282,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2023-04",96.84598,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2023-05",96.91338,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2023-06",96.99333,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2023-07",97.03886,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2023-08",96.93326,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2023-09",96.5601,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2023-10",96.02441,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2023-11",95.43408,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.0045,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.56772,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-03",98.66097,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-04",97.81163,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.89166,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.5082,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.98106,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-08",99.15384,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-09",99.07973,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.74293,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-11",98.47651,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-12",98.66466,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.7665,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-02",98.97863,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.49876,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-04",100.1285,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-05",100.9166,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-06",101.5026,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-07",101.4921,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-08",101.2458,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-09",101.1227,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-10",100.8282,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-11",100.515,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-12",100.1786,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-01",99.75916,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-02",99.02869,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.8779,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-04",97.25835,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-05",96.97562,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-06",96.78461,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-07",96.75175,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-08",96.83782,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-09",96.79865,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-10",96.8922,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-11",96.99237,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-12",96.9185,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2023-01",96.83752,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2023-02",96.80901,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2023-03",96.972,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2023-04",97.33546,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2023-05",97.80046,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2023-06",98.21965,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2023-07",98.40818,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2023-08",98.35905,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2023-09",98.2396,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2023-10",98.25563,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2023-11",98.50642,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2020-01",102.0095,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2020-02",101.3522,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2020-03",100.0577,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2020-04",98.18406,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.68034,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.30283,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2020-07",99.05301,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2020-08",99.21543,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.93594,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.58188,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2020-11",98.31585,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2020-12",98.42906,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.75634,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.22711,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.62118,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2021-04",100.0111,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2021-05",100.5551,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2021-06",100.8579,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2021-07",100.9212,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2021-08",100.8822,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2021-09",100.7431,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2021-10",100.4099,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2021-11",99.95619,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2021-12",99.56184,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2022-01",99.2818,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2022-02",99.19138,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2022-03",99.06438,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2022-04",98.85788,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2022-05",98.69392,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2022-06",98.60942,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2022-07",98.30499,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2022-08",97.89359,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2022-09",97.64464,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2022-10",97.62738,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2022-11",97.81458,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2022-12",98.12048,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2023-01",98.35899,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2023-02",98.3736,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2023-03",98.60831,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2023-04",99.24208,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2023-05",100.0372,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2023-06",100.5147,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2023-07",100.7996,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2023-08",100.8519,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2023-09",100.8674,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2023-10",100.9966,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2023-11",101.288,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2020-01",102.7821,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2020-02",102.1685,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2020-03",101.2238,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2020-04",100.1999,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2020-05",100.1863,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2020-06",100.4677,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2020-07",100.6109,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2020-08",100.4672,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2020-09",100.1383,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2020-10",99.55222,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2020-11",99.36026,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2020-12",99.64559,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2021-01",99.70077,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.64112,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.82581,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2021-04",100.481,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2021-05",101.1875,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2021-06",101.5795,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2021-07",101.5755,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2021-08",101.4675,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2021-09",101.073,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2021-10",100.258,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2021-11",99.33187,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2021-12",99.01048,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2022-01",98.811,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2022-02",98.31173,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.30781,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2022-04",96.63797,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2022-05",96.24199,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2022-06",96.00512,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2022-07",95.89216,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2022-08",95.9661,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2022-09",95.91176,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2022-10",95.92216,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2022-11",96.22913,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2022-12",96.83087,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2023-01",97.64343,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2023-02",98.18267,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2023-03",98.25761,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2023-04",98.30431,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2023-05",98.37234,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2023-06",98.53647,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2023-07",98.8286,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2023-08",98.89907,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2023-09",98.70667,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2023-10",98.44816,
"CZE","CCI","AMPLITUD","LTRENDIDX","M","2023-11",97.98675,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2020-01",99.03419,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2020-02",98.28171,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2020-03",96.9218,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2020-04",95.70159,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2020-05",95.46884,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2020-06",95.89981,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2020-07",96.44414,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2020-08",96.90721,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2020-09",97.31667,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2020-10",97.51414,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2020-11",97.48521,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2020-12",97.3263,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2021-01",97.32842,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2021-02",97.69781,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2021-03",98.06087,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2021-04",98.21764,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2021-05",98.32654,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2021-06",98.5559,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2021-07",98.72857,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2021-08",98.83198,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2021-09",98.98248,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2021-10",99.15759,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2021-11",99.20981,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2021-12",99.04755,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2022-01",98.66512,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2022-02",98.1954,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.74448,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2022-04",97.50542,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2022-05",97.38741,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2022-06",97.22749,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2022-07",97.10033,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2022-08",97.0946,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2022-09",97.00201,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2022-10",96.89816,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2022-11",96.85173,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2022-12",96.94608,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2023-01",97.10666,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2023-02",97.36263,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2023-03",97.76854,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2023-04",98.14826,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2023-05",98.40125,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2023-06",98.53361,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2023-07",98.56947,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2023-08",98.47334,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2023-09",98.36082,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2023-10",98.34821,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2023-11",98.39112,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.4353,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.0268,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.14552,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-04",98.17542,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.99754,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.38768,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.76962,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.94514,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.94917,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.79668,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-11",98.7122,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-12",98.90484,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-01",99.1373,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.49211,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.95277,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-04",100.3785,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-05",100.8707,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-06",101.2385,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-07",101.2917,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-08",101.1544,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-09",100.9361,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-10",100.5641,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-11",100.1311,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-12",99.76348,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-01",99.35028,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-02",98.66532,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.67625,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-04",96.94725,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-05",96.5079,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-06",96.15413,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-07",95.90372,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-08",95.77966,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-09",95.6918,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-10",95.87267,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-11",96.26362,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-12",96.67381,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2023-01",97.07915,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2023-02",97.48197,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2023-03",97.85372,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2023-04",98.29842,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2023-05",98.62785,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2023-06",98.7291,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2023-07",98.59486,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2023-08",98.34718,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2023-09",98.16548,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2023-10",98.09016,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2023-11",98.15408,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2020-01",99.27192,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.10147,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2020-03",98.70593,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2020-04",98.29745,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2020-05",98.41461,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.58556,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.51991,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.59211,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2020-09",99.2528,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2020-10",100.0838,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2020-11",100.6648,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2020-12",100.9417,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2021-01",100.9735,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2021-02",101.0909,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2021-03",101.3201,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2021-04",101.4827,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2021-05",101.2944,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2021-06",100.9653,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2021-07",100.7345,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2021-08",100.5438,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2021-09",100.4876,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2021-10",100.4574,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2021-11",100.4167,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2021-12",100.322,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2022-01",100.1632,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2022-02",99.94979,
"AUS","CCI","AMPLITUD","LTRENDIDX","M","2022-03",99.65098,
